transaction_id,item_id,patron_id,transaction_type,transaction_date,due_date,return_date,renewal_count,fine_amount,fine_paid,fine_waived,staff_id,workstation,notes
TXN000001,ITM000001,PAT000001,Checkout,2025-10-19,2025-11-09,,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000002,ITM000001,PAT000001,Checkin,2025-11-02,,2025-11-02,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000003,ITM000002,PAT000002,Checkout,2025-12-10,2025-12-31,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC2,
TXN000004,ITM000003,PAT000024,Checkout,2025-09-01,2025-09-22,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000005,ITM000003,PAT000024,Checkin,2025-09-15,,2025-09-15,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000006,ITM000004,PAT000028,Checkout,2025-10-14,2025-11-04,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000007,ITM000004,PAT000028,Checkin,2025-10-28,,2025-10-28,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000008,ITM000005,PAT000025,Checkout,2025-11-20,2025-12-11,,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,
TXN000009,ITM000005,PAT000025,Checkin,2025-12-05,,2025-12-05,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,In transit to MAIN
TXN000010,ITM000006,PAT000005,Checkout,2025-11-04,2025-11-25,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000011,ITM000006,PAT000005,Checkin,2025-11-18,,2025-11-18,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000012,ITM000008,PAT000010,Checkout,2025-12-01,2025-12-22,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000013,ITM000009,PAT000003,Checkout,2025-08-06,2025-08-27,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000014,ITM000009,PAT000003,Checkin,2025-08-20,,2025-08-20,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000015,ITM000010,PAT000021,Checkout,2025-09-20,2025-10-11,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000016,ITM000010,PAT000021,Checkin,2025-10-05,,2025-10-05,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000017,ITM000011,PAT000004,Checkout,2025-11-10,2025-12-01,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000018,ITM000011,PAT000004,Checkin,2025-11-25,,2025-11-25,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000019,ITM000012,PAT000018,Checkout,2025-12-08,2025-12-29,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000020,ITM000013,PAT000001,Checkout,2025-10-16,2025-11-06,,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000021,ITM000013,PAT000001,Checkin,2025-10-30,,2025-10-30,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC2,
TXN000022,ITM000014,PAT000015,Checkout,2025-08-27,2025-09-17,,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000023,ITM000014,PAT000015,Checkin,2025-09-10,,2025-09-10,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC2,
TXN000024,ITM000015,PAT000008,Hold Placed,2025-12-09,,,0,0.00,0.00,0.00,SELF,OPAC,Hold placed via OPAC
TXN000025,ITM000015,PAT000019,Checkout,2025-11-25,2025-12-16,,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,
TXN000026,ITM000015,PAT000019,Checkin,2025-12-09,,2025-12-09,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,Trapped for hold - PAT000008
TXN000027,ITM000017,PAT000022,Checkout,2025-07-01,2025-07-22,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000028,ITM000017,PAT000022,Checkin,2025-07-15,,2025-07-15,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000029,ITM000018,PAT000004,Checkout,2025-11-17,2025-12-08,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000030,ITM000018,PAT000004,Checkin,2025-12-01,,2025-12-01,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000031,ITM000019,PAT000003,Checkout,2025-10-08,2025-10-29,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000032,ITM000019,PAT000003,Checkin,2025-10-22,,2025-10-22,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000033,ITM000020,PAT000006,Checkout,2025-12-12,2026-01-02,,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,
TXN000034,ITM000021,PAT000017,Checkout,2025-11-14,2025-12-05,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000035,ITM000021,PAT000017,Checkin,2025-11-28,,2025-11-28,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
